group,id_spec,WARP1,rho14_pencilsFINAL,WARP2,rho14_pensFINAL,rhoIND_pencils,rhoIND_pens
35,14,0,0.992165809892573,0,0.971138636935973,0.999999999909092,0.999999999909092
35,15,6,0.607674115469113,5,0.781127881869559,0.716283695419221,0.814093095273096
35,16,0,0.942345545201474,3,0.870905157217648,0.999999999909092,0.908228625534814
35,17,4,0.845428312828958,8,0.321926393766628,0.814093095268726,0.502203679486299
35,18,0,0.961383072339255,4,0.673118889584106,0.999999999909092,0.814093088538074
35,19,0,0.961383072339255,0,0.903004304070695,0.999999999909092,0.999999999909092
35,20,0,0.977367712356649,6,0.788589146037795,0.999999999909092,0.814093095231574
35,21,5,0.77038010848796,6,0.521013002221334,0.814093095233967,0.716283695363274
35,22,0,0.97138878517665,0,0.946274514345772,0.999999999909092,0.999999999909092
36,1,0,0.973344884011327,0,0.946274514345772,0.999999999909092,0.999999999909092
36,2,11,0.335055837249723,10,0.305933473178903,0.380748386104884,0.380748384388451
36,3,5,0.850852818072887,10,0.313220418818922,0.814093095287278,0.502203679890815
36,4,3,0.869532098043476,0,0.958193083755609,0.908228625473293,0.999999999909092
36,5,0,0.942345545201474,4,0.799490799608784,0.999999999909092,0.814093095328797
36,6,3,0.88510740740858,10,0.311946002482015,0.908228618538516,0.502203690376884
36,7,0,0.97138878517665,5,0.794368828020855,0.999999999909092,0.81409309521812
36,8,11,0.34020186012689,12,0.306525929018748,0.380748384083706,0.380748387867717
36,9,3,0.891203244956325,5,0.760288791060849,0.908228625535403,0.814093095257271
37,1,9,0.364904079194851,8,0.311056864898679,0.613066222742962,0.502203679171102
37,2,4,0.814270331247364,3,0.873628868826367,0.814093095307726,0.908228625474245
37,3,0,0.969026472217586,1,0.877976382568938,0.999999999909092,0.908228625463454
37,4,0,0.961383072339255,7,0.402530861291019,0.999999999909092,0.613066224547185
37,5,0,0.985051558315728,0,0.975569797357615,0.999999999909092,0.999999999909092
37,6,0,0.942345545201474,2,0.80216963839174,0.999999999909092,0.814093095205925
37,7,3,0.869340312192119,0,0.966620999076973,0.908228625537119,0.999999999909092
37,8,3,0.926008477192231,1,0.879534748443667,0.908228618537023,0.908228618527078
37,9,2,0.836402866921518,1,0.882087332574797,0.814093095205046,0.908228625549558
37,10,3,0.892560254097765,3,0.880747748005305,0.908228618538632,0.908228618537827
38,8,0,0.982171935287719,0,0.971138636935973,0.999999999909092,0.999999999909092
38,10,0,0.973344884011327,0,0.951916002090914,0.999999999909092,0.999999999909092
38,11,8,0.379719501383448,10,0.305486282306035,0.613066226360445,0.380748391927143
38,12,0,0.992320879285172,1,0.883076265659641,0.999999999909092,0.908228625549357
38,13,0,0.973344884011327,0,0.951916002090914,0.999999999909092,0.999999999909092
38,14,0,0.985685000802607,3,0.878423033710814,0.999999999909092,0.908228625536664
38,16,0,0.97138878517665,0,0.941312147460941,0.999999999909092,0.999999999909092
38,17,0,0.973344884011327,0,0.958193083755609,0.999999999909092,0.999999999909092
38,18,0,0.989726339947843,6,0.395884105748571,0.999999999909092,0.814093095228884
39,3,0,0.992680257783382,0,0.971138636935973,0.999999999909092,0.999999999909092
39,4,3,0.882777740712141,0,0.958193083755609,0.908228625555498,0.999999999909092
39,5,0,0.985051558315728,0,0.959032229626891,0.999999999909092,0.999999999909092
